ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
BGD,https://data.humdata.org/dataset/cod-ab-bgd,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),8,64,544,5160,True,https://data.humdata.org/dataset/cod-ps-bgd,cod-enhanced,UNFPA,True,,,
BRB,https://data.humdata.org/dataset/cod-ab-brb,cod-standard,OCHA Field Information Services Section (FISS),11,,,,False,https://data.humdata.org/dataset/cod-ps-brb,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
BLR,https://data.humdata.org/dataset/cod-ab-blr,cod-enhanced,OCHA Field Information Services Section (FISS),7,119,,,True,,,,,https://data.humdata.org/dataset/cod-em-blr,cod-enhanced,True
BLZ,https://data.humdata.org/dataset/cod-ab-blz,cod-enhanced,OCHA Field Information Services Section (FISS),6,,,,True,https://data.humdata.org/dataset/cod-ps-blz,cod-standard,OCHA Latin America and the Caribbean (ROLAC),False,,,
BEN,https://data.humdata.org/dataset/cod-ab-ben,cod-enhanced,OCHA West and Central Africa (ROWCA),12,77,,,True,https://data.humdata.org/dataset/cod-ps-ben,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-ben,cod-enhanced,False
BMU,https://data.humdata.org/dataset/cod-ab-bmu,cod-standard,OCHA Field Information Services Section (FISS),9,9,,,False,https://data.humdata.org/dataset/cod-ps-bmu,cod-enhanced,UNFPA,True,,,
BTN,https://data.humdata.org/dataset/cod-ab-btn,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),20,205,,,True,https://data.humdata.org/dataset/cod-ps-btn,cod-enhanced,UNFPA,True,,,
BOL,https://data.humdata.org/dataset/cod-ab-bol,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),9,112,339,,True,https://data.humdata.org/dataset/cod-ps-bol,cod-enhanced,UNFPA,True,,,
BES,https://data.humdata.org/dataset/cod-ab-bes,cod-standard,OCHA Field Information Services Section (FISS),,,,,False,,,,,,,
BWA,https://data.humdata.org/dataset/cod-ab-bwa,cod-standard,OCHA Field Information Services Section (FISS),17,28,519,,False,https://data.humdata.org/dataset/cod-ps-bwa,cod-enhanced,UNFPA,True,,,
BRA,https://data.humdata.org/dataset/cod-ab-bra,cod-standard,OCHA Latin America and the Caribbean (ROLAC),27,5572,,,False,https://data.humdata.org/dataset/cod-ps-bra,cod-enhanced,UNFPA,True,,,
BGR,https://data.humdata.org/dataset/cod-ab-bgr,cod-enhanced,OCHA Field Information Services Section (FISS),28,265,,,True,,,,,https://data.humdata.org/dataset/cod-em-bgr,cod-enhanced,True
BFA,https://data.humdata.org/dataset/cod-ab-bfa,cod-enhanced,OCHA Burkina Faso,13,45,351,,True,https://data.humdata.org/dataset/cod-ps-bfa,cod-standard,UNFPA,False,https://data.humdata.org/dataset/cod-em-bfa,cod-enhanced,True
BDI,https://data.humdata.org/dataset/cod-ab-bdi,cod-enhanced,OCHA Field Information Services Section (FISS),18,119,,,True,https://data.humdata.org/dataset/cod-ps-bdi,cod-enhanced,UNFPA,True,,,
KHM,https://data.humdata.org/dataset/cod-ab-khm,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),25,197,1633,,False,https://data.humdata.org/dataset/cod-ps-khm,cod-enhanced,UNFPA,True,,,
CMR,https://data.humdata.org/dataset/cod-ab-cmr,cod-enhanced,OCHA Cameroon,10,58,360,,True,https://data.humdata.org/dataset/cod-ps-cmr,cod-standard,UNFPA,True,https://data.humdata.org/dataset/cod-em-cmr,cod-enhanced,True
CPV,https://data.humdata.org/dataset/cod-ab-cpv,cod-standard,OCHA West and Central Africa (ROWCA),22,32,,,False,https://data.humdata.org/dataset/cod-ps-cpv,cod-enhanced,UNFPA,True,,,
CYM,https://data.humdata.org/dataset/cod-ab-cym,cod-standard,OCHA Field Information Services Section (FISS),6,,,,False,https://data.humdata.org/dataset/cod-ps-cym,cod-enhanced,UNFPA,True,,,
CAF,https://data.humdata.org/dataset/cod-ab-caf,cod-enhanced,OCHA Central African Republic,17,72,175,860,True,https://data.humdata.org/dataset/cod-ps-caf,cod-standard,OCHA Central African Republic,False,https://data.humdata.org/dataset/cod-em-caf,cod-enhanced,True
TCD,https://data.humdata.org/dataset/cod-ab-tcd,cod-enhanced,OCHA Chad,23,70,10,,True,https://data.humdata.org/dataset/cod-ps-tcd,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-tcd,cod-enhanced,True
CHL,https://data.humdata.org/dataset/cod-ab-chl,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),16,56,345,,True,https://data.humdata.org/dataset/cod-ps-chl,cod-enhanced,UNFPA,True,,,
CHN,https://data.humdata.org/dataset/cod-ab-chn,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),34,361,,,False,,,,,,,
COL,https://data.humdata.org/dataset/cod-ab-col,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),33,1122,,,True,https://data.humdata.org/dataset/cod-ps-col,cod-enhanced,UNFPA,True,,,
COM,https://data.humdata.org/dataset/cod-ab-com,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),3,17,55,,True,https://data.humdata.org/dataset/cod-ps-com,cod-enhanced,UNFPA,True,,,
COG,https://data.humdata.org/dataset/cod-ab-cog,cod-enhanced,OCHA West and Central Africa (ROWCA),12,89,,,True,,,,,,,
COD,https://data.humdata.org/dataset/cod-ab-cod,cod-enhanced,OCHA Democratic Republic of the Congo (DRC),519,,,,True,https://data.humdata.org/dataset/cod-ps-cod,cod-standard,OCHA Democratic Republic of the Congo (DRC),False,,,
CRI,https://data.humdata.org/dataset/cod-ab-cri,cod-standard,OCHA Field Information Services Section (FISS),7,81,478,,False,https://data.humdata.org/dataset/cod-ps-cri,cod-enhanced,UNFPA,True,,,
CIV,https://data.humdata.org/dataset/cod-ab-civ,cod-enhanced,OCHA West and Central Africa (ROWCA),33,108,510,,True,https://data.humdata.org/dataset/cod-ps-civ,cod-standard,OCHA West and Central Africa (ROWCA),False,https://data.humdata.org/dataset/cod-em-civ,cod-enhanced,True
CUB,https://data.humdata.org/dataset/cod-ab-cub,cod-standard,OCHA Field Information Services Section (FISS),16,168,,,False,https://data.humdata.org/dataset/cod-ps-cub,cod-enhanced,UNFPA,True,,,
CUW,https://data.humdata.org/dataset/cod-ab-cuw,cod-standard,OCHA Field Information Services Section (FISS),66,,,,False,https://data.humdata.org/dataset/cod-ps-cuw,cod-enhanced,UNFPA,True,,,
DJI,https://data.humdata.org/dataset/cod-ab-dji,cod-standard,OCHA Field Information Services Section (FISS),6,20,,,False,https://data.humdata.org/dataset/cod-ps-dji,cod-standard,OCHA Regional Office for Southern and Eastern Africa (ROSEA),False,,,
DMA,https://data.humdata.org/dataset/cod-ab-dma,cod-standard,OCHA Field Information Services Section (FISS),10,,,,False,https://data.humdata.org/dataset/cod-ps-dma,cod-enhanced,UNFPA,True,,,
DOM,https://data.humdata.org/dataset/cod-ab-dom,cod-enhanced,OCHA Field Information Services Section (FISS),10,32,155,386,True,https://data.humdata.org/dataset/cod-ps-dom,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-dom,cod-enhanced,True
ECU,https://data.humdata.org/dataset/cod-ab-ecu,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),25,224,1040,,True,https://data.humdata.org/dataset/cod-ps-ecu,cod-enhanced,UNFPA,True,,,
EGY,https://data.humdata.org/dataset/cod-ab-egy,cod-enhanced,OCHA Middle East and North Africa (ROMENA),27,365,5716,,True,https://data.humdata.org/dataset/cod-ps-egy,cod-standard,OCHA Field Information Services Section (FISS),False,,,
SLV,https://data.humdata.org/dataset/cod-ab-slv,cod-enhanced,OCHA Field Information Services Section (FISS),14,48,266,,False,https://data.humdata.org/dataset/cod-ps-slv,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-slv,,False
GNQ,https://data.humdata.org/dataset/cod-ab-gnq,cod-enhanced,OCHA West and Central Africa (ROWCA),7,32,,,True,,,,,,,
ERI,https://data.humdata.org/dataset/cod-ab-eri,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),6,58,,,True,https://data.humdata.org/dataset/cod-ps-eri,cod-standard,OCHA Regional Office for Southern and Eastern Africa (ROSEA),False,,,
ETH,https://data.humdata.org/dataset/cod-ab-eth,cod-enhanced,OCHA Ethiopia,13,92,1082,,True,https://data.humdata.org/dataset/cod-ps-eth,cod-standard,OCHA Ethiopia,True,,,
FJI,https://data.humdata.org/dataset/cod-ab-fji,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),4,15,86,,False,https://data.humdata.org/dataset/cod-ps-fji,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),True,,,
GUF,https://data.humdata.org/dataset/cod-ab-guf,cod-standard,OCHA Field Information Services Section (FISS),2,22,,,False,https://data.humdata.org/dataset/cod-ps-guf,cod-standard,OCHA Latin America and the Caribbean (ROLAC),False,,,
GAB,https://data.humdata.org/dataset/cod-ab-gab,cod-standard,OCHA West and Central Africa (ROWCA),9,48,,,False,https://data.humdata.org/dataset/cod-ps-gab,cod-standard,UNFPA,True,,,
GMB,https://data.humdata.org/dataset/cod-ab-gmb,cod-enhanced,OCHA Field Information Services Section (FISS),8,49,115,,True,https://data.humdata.org/dataset/cod-ps-gmb,cod-standard,OCHA West and Central Africa (ROWCA),True,https://data.humdata.org/dataset/cod-em-gmb,cod-enhanced,True
GEO,https://data.humdata.org/dataset/cod-ab-geo,cod-enhanced,OCHA Middle East and North Africa (ROMENA),13,70,,,True,https://data.humdata.org/dataset/cod-ps-geo,cod-standard,OCHA Field Information Services Section (FISS),True,,,
GHA,https://data.humdata.org/dataset/cod-ab-gha,cod-enhanced,OCHA West and Central Africa (ROWCA),16,260,,,True,https://data.humdata.org/dataset/cod-ps-gha,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-gha,cod-enhanced,True
GRC,https://data.humdata.org/dataset/cod-ab-grc,cod-standard,Regional IM Working Group - Europe,8,14,,,False,,,,,,,
GRD,https://data.humdata.org/dataset/cod-ab-grd,cod-enhanced,OCHA Field Information Services Section (FISS),8,,,,False,https://data.humdata.org/dataset/cod-ps-grd,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
GLP,https://data.humdata.org/dataset/cod-ab-glp,cod-standard,OCHA Field Information Services Section (FISS),2,32,,,False,https://data.humdata.org/dataset/cod-ps-glp,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
