ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units,COD-AB services,COD-PS URL,COD-PS level,COD-PS contributor,COD-PS services,COD-EM URL,COD-EM level,COD-EM services
MLI,https://data.humdata.org/dataset/cod-ab-mli,cod-enhanced,OCHA Field Information Services Section (FISS),10,53,701,,True,https://data.humdata.org/dataset/cod-ps-mli,cod-standard,OCHA Mali,True,https://data.humdata.org/dataset/cod-em-mli,cod-enhanced,True
MHL,https://data.humdata.org/dataset/cod-ab-mhl,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),25,153,,,False,https://data.humdata.org/dataset/cod-ps-mhl,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),True,,,
MTQ,https://data.humdata.org/dataset/cod-ab-mtq,cod-standard,OCHA Field Information Services Section (FISS),4,34,,,False,https://data.humdata.org/dataset/cod-ps-mtq,cod-standard,OCHA Latin America and the Caribbean (ROLAC),False,,,
MRT,https://data.humdata.org/dataset/cod-ab-mrt,cod-enhanced,OCHA Field Information Services Section (FISS),15,63,238,,False,https://data.humdata.org/dataset/cod-ps-mrt,cod-standard,UNFPA,False,https://data.humdata.org/dataset/cod-em-mrt,cod-enhanced,False
MUS,https://data.humdata.org/dataset/cod-ab-mus,cod-standard,OCHA Latin America and the Caribbean (ROLAC),12,,,,False,https://data.humdata.org/dataset/cod-ps-mus,cod-standard,UNFPA,False,,,
MEX,https://data.humdata.org/dataset/cod-ab-mex,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),32,2457,,,True,https://data.humdata.org/dataset/cod-ps-mex,cod-enhanced,UNFPA,True,,,
FSM,https://data.humdata.org/dataset/cod-ab-fsm,cod-standard,OCHA Office of the Pacific Islands,4,75,,,False,https://data.humdata.org/dataset/cod-ps-fsm,cod-standard,OCHA Office of the Pacific Islands,True,,,
MDA,https://data.humdata.org/dataset/cod-ab-mda,cod-enhanced,OCHA Field Information Services Section (FISS),37,,,,True,https://data.humdata.org/dataset/cod-ps-mda,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-mda,cod-enhanced,True
MNG,https://data.humdata.org/dataset/cod-ab-mng,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),22,339,,,True,https://data.humdata.org/dataset/cod-ps-mng,cod-enhanced,UNFPA,True,,,
MSR,https://data.humdata.org/dataset/cod-ab-msr,cod-standard,OCHA Field Information Services Section (FISS),3,,,,False,https://data.humdata.org/dataset/cod-ps-msr,cod-standard,OCHA Latin America and the Caribbean (ROLAC),True,,,
MAR,https://data.humdata.org/dataset/cod-ab-mar,cod-standard,OCHA Field Information Services Section (FISS),10,69,1507,1656,True,https://data.humdata.org/dataset/cod-ps-mar,cod-standard,OCHA Field Information Services Section (FISS),False,,,
MOZ,https://data.humdata.org/dataset/cod-ab-moz,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),11,159,411,,True,https://data.humdata.org/dataset/cod-ps-moz,cod-enhanced,UNFPA,True,,,
MMR,https://data.humdata.org/dataset/cod-ab-mmr,cod-standard,OCHA Field Information Services Section (FISS),18,80,330,14174,True,https://data.humdata.org/dataset/cod-ps-mmr,cod-standard,UNFPA,True,https://data.humdata.org/dataset/cod-em-mmr,cod-standard,True
NAM,https://data.humdata.org/dataset/cod-ab-nam,cod-enhanced,OCHA Field Information Services Section (FISS),14,107,,,True,https://data.humdata.org/dataset/cod-ps-nam,cod-enhanced,UNFPA,True,,,
NPL,https://data.humdata.org/dataset/cod-ab-npl,cod-enhanced,OCHA Field Information Services Section (FISS),7,77,775,,False,https://data.humdata.org/dataset/cod-ps-npl,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-npl,cod-enhanced,False
NIC,https://data.humdata.org/dataset/cod-ab-nic,cod-enhanced,OCHA Field Information Services Section (FISS),17,153,,,True,https://data.humdata.org/dataset/cod-ps-nic,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-nic,cod-enhanced,True
NER,https://data.humdata.org/dataset/cod-ab-ner,cod-enhanced,OCHA Niger,8,67,266,,False,https://data.humdata.org/dataset/cod-ps-ner,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-ner,cod-enhanced,False
NGA,https://data.humdata.org/dataset/cod-ab-nga,cod-enhanced,OCHA Nigeria,37,774,714,,True,https://data.humdata.org/dataset/cod-ps-nga,cod-enhanced,UNFPA,True,https://data.humdata.org/dataset/cod-em-nga,cod-enhanced,True
OMN,https://data.humdata.org/dataset/cod-ab-omn,cod-enhanced,OCHA Middle East and North Africa (ROMENA),11,49,,,True,,,,,,,
PAK,https://data.humdata.org/dataset/cod-ab-pak,cod-enhanced,OCHA Field Information Services Section (FISS),7,160,577,,True,https://data.humdata.org/dataset/cod-ps-pak,cod-standard,OCHA Field Information Services Section (FISS),True,https://data.humdata.org/dataset/cod-em-pak,cod-enhanced,True
PSE,https://data.humdata.org/dataset/cod-ab-pse,cod-enhanced,OCHA occupied Palestinian territory (oPt),2,16,,,True,https://data.humdata.org/dataset/cod-ps-pse,cod-enhanced,UNFPA,True,,,
PAN,https://data.humdata.org/dataset/cod-ab-pan,cod-enhanced,OCHA Field Information Services Section (FISS),13,76,594,,True,https://data.humdata.org/dataset/cod-ps-pan,cod-enhanced,UNFPA,True,,,
PNG,https://data.humdata.org/dataset/cod-ab-png,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),22,87,326,,True,https://data.humdata.org/dataset/cod-ps-png,cod-standard,OCHA Field Information Services Section (FISS),True,,,
