ISO,COD-UID,contributor,error,resource name,file name,pcode headers,name headers
TUN,cod-ab-tun,OCHA Field Information Services Section (FISS),,tun_adm_ins_20221115_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
TUN,cod-ab-tun,OCHA Field Information Services Section (FISS),,tun_adm_ins_20221115_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM3_EN"
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_administrativelevels0_1_2.zip,,,adm0_en
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_administrativelevels0_1_2.zip,,,"adm2_en, adm1_en"
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_administrativelevels0_1_2.zip,,,adm0_en
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_administrativelevels0_1_2.zip,,,"adm1_en, adm0_en"
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_centeralpoints_1_2.zip,,,"adm1_en, adm0_en"
TUR,cod-ab-tur,Regional IM Working Group - Europe,,turkey_centeralpoints_1_2.zip,,adm1_code,"adm2_en, adm0_en, adm1_en"
TUR,cod-ab-tur,Regional IM Working Group - Europe,Could not read file,tur_polbnda_adm3_Southeast.zip,,,
TZA,cod-ab-tza,OCHA ROSA (closed),,tza_admbnda_adm0_20181019.zip,,ADM0_PCODE,ADM0_EN
TZA,cod-ab-tza,OCHA ROSA (closed),,tza_admbnda_adm1_20181019.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN"
TZA,cod-ab-tza,OCHA ROSA (closed),,tza_admbnda_adm2_20181019.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
TZA,cod-ab-tza,OCHA ROSA (closed),,tza_admbnda_adm3_20181019.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM3_EN, ADM1_EN"
TZA,cod-ab-tza,OCHA ROSA (closed),,tza_admbndl_ALL_20181019.zip,,,
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,,
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,ADM0_PCODE,ADM0_EN
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,"ADM3_PCODE, ADM2_PCODE, ADM0_PCODE, ADM1_PCODE, ADM4_PCODE","ADM4_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM3_EN"
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
UGA,cod-ab-uga,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,uga_admbnda_ubos_20200824_SHP.zip,,"ADM3_PCODE, ADM2_PCODE, ADM0_PCODE, ADM1_PCODE, ADM4_PCODE","ADM4_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM2_RU, ADM0_EN, ADM1_EN, ADM0_RU, ADM2_EN, ADM1_RU"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,"ADM0_PCODE, ADM1_PCODE","ADM1_RU, ADM0_RU, ADM1_EN, ADM0_EN"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM2_RU, ADM3_RU, ADM0_EN, ADM1_EN, ADM0_RU, ADM2_EN, ADM1_RU, ADM3_EN"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,ADM0_PCODE,"ADM0_EN, ADM0_RU"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,"ADM3_PCODE, ADM2_PCODE, ADM0_PCODE, ADM1_PCODE, ADM4_PCODE","ADM4_EN, ADM2_RU, ADM3_RU, ADM0_EN, ADM1_EN, ADM0_RU, ADM2_EN, ADM1_RU, ADM4_RU, ADM3_EN"
UKR,cod-ab-ukr,OCHA Field Information Services Section (FISS),,ukr_admbnda_sspe_20230201_SHP.zip,,,
URY,cod-ab-ury,OCHA Field Information Services Section (FISS),,ury_adm_2020_SHP.zip,,ADM0_PCODE,ADM0_ES
URY,cod-ab-ury,OCHA Field Information Services Section (FISS),,ury_adm_2020_SHP.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_ES, ADM2_ES, ADM1_ES"
URY,cod-ab-ury,OCHA Field Information Services Section (FISS),,ury_adm_2020_SHP.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_ES, ADM1_ES"
URY,cod-ab-ury,OCHA Field Information Services Section (FISS),,ury_adm_2020_SHP.zip,,,
UZB,cod-ab-uzb,OCHA Middle East and North Africa (ROMENA),,uzb_admbnda_adm0_2018b.zip,,ADM0_PCODE,"ADM0_EN, ADM0_RU"
UZB,cod-ab-uzb,OCHA Middle East and North Africa (ROMENA),,uzb_admbnda_adm1_2018b.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_RU, ADM1_EN, ADM0_RU"
UZB,cod-ab-uzb,OCHA Middle East and North Africa (ROMENA),,uzb_admbnda_adm2_2018b.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM2_RU, ADM1_EN, ADM0_RU, ADM2_EN, ADM0_EN, ADM1_RU"
UZB,cod-ab-uzb,OCHA Middle East and North Africa (ROMENA),,uzb_admbndl_ALL_gov.zip,,,
VCT,cod-ab-vct,OCHA Field Information Services Section (FISS),,vct_admbnda_2021_shp.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
VCT,cod-ab-vct,OCHA Field Information Services Section (FISS),,vct_admbnda_2021_shp.zip,,ADM0_PCODE,ADM0_EN
VCT,cod-ab-vct,OCHA Field Information Services Section (FISS),,vct_admbnda_2021_shp.zip,,,
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM0_EN, ADM2_ES, ADM3_ES"
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM0_ES, ADM1_ES"
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM0_ES, ADM2_ES, ADM1_ES"
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,,
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM1_ES, ADM0_ES, ADM0_EN, ADM2_ES, ADM3_ES"
VEN,cod-ab-ven,OCHA Venezuela,,ven_adm_ine_20210223_SHP.zip,,ADM0_PCODE,"ADM0_EN, ADM0_ES"
VGB,cod-ab-vgb,OCHA Field Information Services Section (FISS),,vgb_adm_2020_SHP.zip,,ADM0_PCODE,ADM0_EN
VGB,cod-ab-vgb,OCHA Field Information Services Section (FISS),,vgb_adm_2020_SHP.zip,,,
VGB,cod-ab-vgb,OCHA Field Information Services Section (FISS),,vgb_adm_2020_SHP.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN"
VIR,cod-ab-vir,OCHA Field Information Services Section (FISS),,vir_adm_2019_SHP.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
VIR,cod-ab-vir,OCHA Field Information Services Section (FISS),,vir_adm_2019_SHP.zip,,,
VIR,cod-ab-vir,OCHA Field Information Services Section (FISS),,vir_adm_2019_SHP.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_EN"
VIR,cod-ab-vir,OCHA Field Information Services Section (FISS),,vir_adm_2019_SHP.zip,,ADM0_PCODE,ADM0_EN
VNM,cod-ab-vnm,OCHA Regional Office for Asia and the Pacific (ROAP),,vnm_adm_gov_20201027.zip,,ADM0_PCODE,ADM0_EN
VNM,cod-ab-vnm,OCHA Regional Office for Asia and the Pacific (ROAP),,vnm_adm_gov_20201027.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
VNM,cod-ab-vnm,OCHA Regional Office for Asia and the Pacific (ROAP),,vnm_adm_gov_20201027.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
VNM,cod-ab-vnm,OCHA Regional Office for Asia and the Pacific (ROAP),,vnm_adm_gov_20201027.zip,,,
VNM,cod-ab-vnm,OCHA Regional Office for Asia and the Pacific (ROAP),,vnm_adm_gov_20201027.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
VUT,cod-ab-vut,OCHA Office of the Pacific Islands,,vut_admbnda_adm0_spc_20180824.zip,,ADM0_PCODE,ADM0_EN
VUT,cod-ab-vut,OCHA Office of the Pacific Islands,,vut_admbnda_adm1_spc_20180824.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
VUT,cod-ab-vut,OCHA Office of the Pacific Islands,,vut_admbnda_adm2_spc_20180824.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
VUT,cod-ab-vut,OCHA Office of the Pacific Islands,,vut_admbndl_admALL_spc_itos_20180824.zip,,,
VUT,cod-ab-vut,OCHA Office of the Pacific Islands,,vut_admbndp_admALL_spc_itos_20180824.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM3REF_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,,
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM3REF_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,ADM0_PCODE,ADM0_EN
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1REF_EN, ADM1_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE, AD2OLDCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM2REF_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1REF_EN, ADM1_EN"
YEM,cod-ab-yem,OCHA Yemen,,YEM Administrative Divisions Shapefiles.zip,,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE, AD2OLDCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM2REF_EN"
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,ADM0_PCODE,ADM0_EN
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,,
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM3_EN"
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,"ADM3_PCODE, ADM2_PCODE, ADM0_PCODE, ADM1_PCODE, ADM4_PCODE","ADM4_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
ZAF,cod-ab-zaf,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zaf_adm_sadb_ocha_20201109_SHP.zip,,"ADM3_PCODE, ADM2_PCODE, ADM0_PCODE, ADM1_PCODE, ADM4_PCODE","ADM4_EN, ADM1_EN, ADM2_EN, ADM0_EN, ADM3_EN"
ZMB,cod-ab-zmb,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zmb_adm_dmmu_20201124_SHP.zip,,ADM0_PCODE,ADM0_EN
ZMB,cod-ab-zmb,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zmb_adm_dmmu_20201124_SHP.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
ZMB,cod-ab-zmb,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zmb_adm_dmmu_20201124_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
ZMB,cod-ab-zmb,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zmb_adm_dmmu_20201124_SHP.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
ZMB,cod-ab-zmb,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zmb_adm_dmmu_20201124_SHP.zip,,,
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbnda_adm0_zimstat_ocha_20180911.zip,,ADM0_PCODE,ADM0_EN
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbnda_adm1_zimstat_ocha_20180911.zip,,"ADM0_PCODE, ADM1_PCODE","ADM0_EN, ADM1_EN"
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbnda_adm2_zimstat_ocha_20180911.zip,,"ADM0_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN"
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbnda_adm3_zimstat_ocha_20180911.zip,,"ADM0_PCODE, ADM3_PCODE, ADM2_PCODE, ADM1_PCODE","ADM0_EN, ADM2_EN, ADM1_EN, ADM3_EN"
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbndl_admALL_zimstat_ocha_itos_20180911.zip,,,
ZWE,cod-ab-zwe,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,zwe_admbndp_admALL_zimstat_ocha_itos_20180911.zip,,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM2_EN, ADM3_EN, ADM1_EN"
